id,Артикул,Имя,Краткое описание,Описание,Базовая цена,Категории,Изображения
1,55111-2918068,Башмак балансира с алюминевой втулкой,"Торговая марка: КАМАЗАртикул: 5511-2918068Габаритные размеры:Ширина, м0.223Высота, м0.209Длина, м0.39Вес, кг29.493","Башмак балансира с алюминиевой втулкойАртикул:55111-2918070Башмак рессоры КАМАЗ со втулками в сборе (ПАО КАМАЗ). Применяется в ходовой части и подвеске автомобиля. Втулка- это деталь автомобиля цилиндрической формы, имеющая отверстие для помещения в него другой детали. На втулку передаются удары, вибрации возникающие при движении автомобиля. Артикул - 55111-2918070 Дополнительное описание - Башмак КАМАЗ балансира со втулками в сборе (ОАО КАМАЗ) Применяется в ходовой части и подвеске автомобиля. Применяется для автомобилей КамАЗ-65115, КамАЗ-6540, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-65116, КамАЗ-43501 (4х4) ,КамАЗ-53501 (6х6), КамАЗ-53504 (6х6) характеристики: Ширина, м 0.223 Высота, м 0.209 Длина, м 0.39 Вес, кг 29.493Также другие запасные части в нашем каталоге!",4050,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_101637.jpg
2,55111-2918070-1,Башмак балансира с бронзовой втулкой,"Торговая марка: КАМАЗАртикул: 5511-2918068Габаритные размеры:Ширина, м0.223Высота, м0.209Длина, м0.39Вес, кг29.493","Башмак балансира с бронзовой втулкой КамАЗАртикул: 55111-2918070-1Башмак рессоры КАМАЗ со втулками в сборе (ПАО КАМАЗ). Применяется в ходовой части и подвеске автомобиля. Втулка- это деталь автомобиля цилиндрической формы, имеющая отверстие для помещения в него другой детали. На втулку передаются удары, вибрации возникающие при движении автомобиля. Артикул - 55111-2918070 Дополнительное описание - Башмак КАМАЗ балансира со втулками в сборе (ОАО КАМАЗ) Применяется в ходовой части и подвеске автомобиля. Применяется для автомобилей КамАЗ-65115, КамАЗ-6540, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-65116, КамАЗ-43501 (4х4) ,КамАЗ-53501 (6х6), КамАЗ-53504 (6х6) характеристики: Ширина, м 0.223 Высота, м 0.209 Длина, м 0.39 Вес, кг 29.493Также другие запасные части в нашем каталоге!",5150,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_101637.jpg
3,55111-2918070-1-1,Башмак балансира с фторопластовой втулкой,"Торговая марка: КАМАЗАртикул: 5511-2918068Габаритные размеры:Ширина, м0.223Высота, м0.209Длина, м0.39Вес, кг29.493","Башмак балансира с фторопластовой втулкойАртикул: ( 55111-2918070-1-1)Башмак рессоры КАМАЗ со втулками в сборе (ПАО КАМАЗ). Применяется в ходовой части и подвеске автомобиля. Втулка- это деталь автомобиля цилиндрической формы, имеющая отверстие для помещения в него другой детали. На втулку передаются удары, вибрации возникающие при движении автомобиля. Артикул - 55111-2918070 Дополнительное описание - Башмак КАМАЗ балансира со втулками в сборе (ОАО КАМАЗ) Применяется в ходовой части и подвеске автомобиля. Применяется для автомобилей КамАЗ-65115, КамАЗ-6540, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-65116, КамАЗ-43501 (4х4) ,КамАЗ-53501 (6х6), КамАЗ-53504 (6х6) характеристики: Ширина, м 0.223 Высота, м 0.209 Длина, м 0.39 Вес, кг 29.493Также другие запасные части в нашем каталоге!",4350,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_101637.jpg
4,740.1003010-20,Головка блока цилиндров Камаз в сборе,"Производитель: КАМАЗАртикул: 740-1003010-20Ширина, м: 0.24Высота, м: 0.2Длина, м: 0.16","Головка блока цилиндров Камаз в сборе 740.1003010-20Головка блока цилиндров камаз - это крышка, расположенная над цилиндровым блоком. Она выполняет ведущую роль во всем блоке двигателя. Она обеспечивает процесс газораспределения в цилиндрах двигателя КамАЗ. Головка КАМАЗ блока цилиндров в сборе устанавливается на двигатели КАМАЗ ЕВРО 0 с традиционной системой топливоподачи.Артикул- 740-1003010-20Применение: 	Камаз-4326 	Камаз 7403.10-260 (Евро-0) 	Камаз-43114 	Камаз-43118 	Камаз-4326 	ЗИЛ 133ГЯ 	Ширина, м - 0.155 	Высота, м - 0.19 	Длина, м - 0.236 	Вес, кг - 8Также другие запасные части вы можете найти в нашем каталоге!",3000,1,"https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190619_134642.jpg, https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190621_125140-1.jpg"
5,740.30-1003010,"Головка блока цилиндров Камаз ЕВРО-1, 2, 3 в сборе","Производитель: КАМАЗАртикул: 740.30-1003010Ширина, м: 0.24Высота, м: 0.2Длина, м: 0.16","Головка блока КамАЗ ЕВРО(740.30-1003010)Головка блока - это крышка, расположенная над цилиндровым блоком. Она выполняет ведущую роль во всем блоке двигателя. Она обеспечивает процесс газораспределения в цилиндрах двигателя КамАЗ.&nbsp;Применение: 	 	Ширина, м - 0.17 	Высота, м - 0.2 	Длина, м - 0.24 	Вес, кг - 8.2Также смотрите другие запасные части в нашем каталоге!",5000,1,"https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190520_103858-scaled.jpg, https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190619_134642.jpg"
6,130-3400020,ГУР (Гидроусилитель руля) ЗИЛ 130-34000020,"Артикулы4331-3400020-02*, 4331-3400020-02Ширина, м:0.3Высота, м:0.3Длина, м:0.5Вес, кг:29.6","Гидроусилитель руля (ГУР) 130Артикул:130-3400020ГУР ЗИЛ (Бычок), может встречаться под каталожными номерами 130-3400020, 130-3405010, 4331-3400020, 4331-3400020-02.Гидроусилитель руля ЗиЛ 130 (ГУР ЗиЛ-130) — устройство стало применяться предприятиями промышленности СССР. Традиционно для конструкционного узла подобного типа, ГУР устанавливается в систему управления с целью снижения усилий, прилагаемых водителем в процессе управления транспортом, обеспечения более высокой маневренности и безопасности при движении, разгрузки колеса (рулевого) от ударов, которые спровоцированы неровным дорожным покрытием. Если даже ГУР ЗиЛ 130 откажет во время движения, рулевое управление все равно будет работать, управление рулевым колесом станет чуть более тяжелым. Также вы можете посмотреть другие запчасти на ЗИЛ, УРАЛ, МАЗ,КамАЗ.Устанавливаемый в систему управления гидроусилитель руля ЗИЛ 130 помогает решить сразу несколько задач. Во-первых, благодаря ему снижаются усилия, прилагаемые водителем во время езды. Во-вторых, этот узел, обозначаемый как 130-3400020, избавляет руль от ударов, вызванных низким качеством дорожного полотна. Наконец, гидроусилитель руля зил 130 способствует повышению маневренности транспортного средства и увеличению безопасности. Владельцам зил 130 ремонт гидроусилителя руля мы предлагаем по максимально доступным ценам. Восстановительные работы — не единственное направление, по которому мы работаем: возможны поставки под заказ совершенно новых комплектующих для техники любых видов.",6000,3,https://deshevle-tut.ru/wp-content/uploads/2019/07/GUR-ZIL.jpg
7,2501-3708000-21,Стартер ЯМЗ г. Ржев 10 зубов,"Вес, кг - 29 10 зуб., m = 3,75Номинальное напряжение, В 24Номинальная мощность при питании от аккумуляторной батареи 190 Ач, кВт 9,0Пусковая мощность при питании от аккумуляторной батареи 190 Ач, кВт, не менее 4,8Параметры шестерни: Модуль 3,75Число зубьев 10-11Направление вращения вала со стороны привода правое","Стартер МАЗ г. Ржев 10-11 зуб.Артикул: 2501-3708000-21Стартер - устройство, которое запускает двигатель внутреннего сгорания. Он состоит из электрического двигателя, якоря, втягивающего реле, бендикса, щеток и их держателей. Стартер – это двигатель постоянного тока, у него имеется две обмотки (роторная и статорная) . Задача стартера – раскрутить коленчатый вал двигателя, чтобы заработала система зажигания. Артикул - 2501-3708000-21Стартер МАЗ г.Ржев подробнее...Характеристики: Вес, кг - 29 10 зуб., m = 3,75 Номинальное напряжение, В 24 Номинальная мощность при питании от аккумуляторной батареи 190 Ач, кВт 9,0 Пусковая мощность при питании от аккумуляторной батареи 190 Ач, кВт, не менее 4,8 Параметры шестерни: Модуль 3,75 Число зубьев 10 Направление вращения вала со стороны привода правоеТак же другие запасные части вы можете найти в нашем каталоге!",11000,2,https://deshevle-tut.ru/wp-content/uploads/2019/07/Starter-RZHEV-1.jpg
8,СТ142Т-3708000-10,Стартер ЯМЗ г.Борисов 10 зубов,"Стартер СТ142Т-10 имеет следующие характеристики: 	номинальное напряжение — 24 В; 	емкость аккумуляторной батареи — 190 А.ч; 	номинальная мощность — 10 кВт; 	правое направление вращения, 	масса — 26 кг.Свойства шестерни привода: 	одиннадцать зубьев; 	модуль — 4,25 мм; 	угол исходного контура — 20 градусов.","Стартер ЯМЗ г.Борисов 10-11 зуб. (СТ142Т-3708000-10)Стартер на ЯМЗ 238 также подходит для двигателей ЯМЗ 236, 7511 и их модификаций. Обычно запчасть устанавливают на автомобили МАЗ. Деталь отлично подходит для любого типа климата, ее можно использовать при температуре от – 40С до + 70С.СТ142Т-10 имеет следующие характеристики: 	номинальное напряжение — 24 В; 	емкость аккумуляторной батареи — 190 А.ч; 	номинальная мощность — 10 кВт; 	правое направление вращения, 	масса — 26 кг.Свойства шестерни привода: 	одиннадцать зубьев; 	модуль — 4,25 мм; 	угол исходного контура — 20 градусов.У нас в продаже — стартер СТ142Т-3708000-10, полностью готовый к установке. В нашем каталоге также в большом ассортименте представлены запчасти для сельскохозяйственной техники, легковых и грузовых автомобилей, спецтехники. Продукция соответствует техническим условиям производителей и государственным стандартам. На товары предоставляется гарантия.",10000,2,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190619_152921.jpg
9,100-3519100,Энергоаккумулятор тип 20 КАМАЗ новый,Артикул: 100-3519100-10Размеры (Д х Ш х В): 0.17 x 0.17 x 0.41 мВес: 9.97 кг,"Энергоаккумулятор тип 20/20 КАМАЗ, МАЗЭнергоаккумулятор тип 20/20 КАМАЗ,МАЗ. Энеpгоаккумулятоp используется для приведения в действие тормозных механизмов. Он состоит из двух камер. Одна камера бесфланцевая мембранного типа, за счет чего тормозная камера управляет механизмом тормозов при нажатии на педаль. Вторая камера - пружинно-пневматический энергоаккумулятор, срабатывающий при включении запасного, стояночного тормоза. Артикул - 100-3519100-10 Дополнительное описание - Камера тормозная с пружинным энергоаккумулятором тип 100-3519100-10 Применяется в тормозной системе автомобилей. Характеристики: Вес, кг 2,74 Ход мембраны/ Ход пружины, мм 57/67 Угол установки хомута 30±5 Ширина, м 0.2 Высота, м 0.2 Длина, м 0.4Смотрите также другие запасные части в нашем каталоге!",2500,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/Energoakkumulyator-tip-20.jpg
10,СТ142-3708000-10,"Стартер ЕВРО-2, КАМАЗ 3 отверстия","Характеристики: 	Номинальная мощность, кВт - 9.2 	Номинальное напряжение, В - 24 	Ёмкость АКБ, А•ч - 190 	Направление вращения - правое 	Число зубьев шестерни привода - 10 	Модуль шестерни привода, мм - 3.75","Стартер КАМАЗ, УРАЛ Е2,Е3 24В/8,2кВт СТ142.3708-10Артикул - СТ142-3708000-10Дополнительный артикул - СТ142Т-3708000-10, СТ142Т-10Альтернативные описания - Стартер МАЗ, УРАЛ дв.ЯМЗ-236, 238, 656, 658 выпуска с 2004 г. 24V 9.2кВт z=10Применение: 	КАМАЗ 	УРАЛ 	Автобусы 	Спецтехника 	Двигатели КАМАЗ 740.30, 740.50 (EURO-2, EURO-3) и их модификацииХарактеристики: 	Номинальная мощность, кВт - 9.2 	Номинальное напряжение, В - 24 	Ёмкость АКБ, А•ч - 190 	Направление вращения - правое 	Число зубьев шестерни привода - 10 	Модуль шестерни привода, мм - 3.75Комплектующие:▻СТ142Б-3708600-10 привод;▻СТ142Б2-3708800 реле;▻СТ142-3708200-10 якорь;▻СТ142-3708400-10 крышка со стороны привода;▻СТ142-3708300 крышка со стороны катушки;▻СТ142-3708330 траверса (щёткодержатель);▻СТ142-3708110-20 катушка возбуждения (обмотка);▻СТ142Б2-3708830 крышка реле;▻СТ142-3708880 катушка реле. 	Ширина, м - 0.22 	Высота, м - 0.17 	Длина, м - 0.47 	Вес, кг - 23.57",11000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/starter-evro.jpg
