id,created_at,updated_at,deleted_at,category,spare_parts_unit,title,vendor_code,description,short_description,price,image_original,image_128,image_432,can_to_view
183817,,,,1,1,Башмак балансира с аллюминевой втулкой,5511-2918068,0,0,4800,0,0,0,true
183818,,,,1,1,Башмак балансира с бронзовой втулкой,5511-2918068,0,0,6100,0,0,0,true
183819,,,,1,1,Башмак балансира с фторопластовой втулкой,5511-2918068,0,0,5150,0,0,0,true
183820,,,,1,1,Вал карданный рулевой,5320-3422010,Вал карданный рулевой КАМАЗ 5320,Вал карданный рулевой КАМАЗ 5320,1550,original/запчасть-на-фотосессии.jpg,128/128__запчасть-на-фотосессии.jpg,432/432__запчасть-на-фотосессии.jpg,true
183821,,,,1,1,Вал карданный рулевой,4310-3422010,Вал карданный рулевой КАМАЗ 4310,Вал карданный рулевой КАМАЗ 4310,1900,original/запчасть-на-фотосессии.jpg,128/128__запчасть-на-фотосессии.jpg,432/432__запчасть-на-фотосессии.jpg,true
183822,,,,1,3,Гидромуфта c/c,740-1318010,"Гидромуфта привода КАМАЗ Артикул: 740-1318010 Альтернативные описания: Применяется для двигателя и системы охлаждения двигателя в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102Ширина, м - 0.43 Высота, м - 0.26 Длина, м - 0.276 Вес, кг – 19.6","Гидромуфта привода КАМАЗ Артикул: 740-1318010 Альтернативные описания: Применяется для двигателя и системы охлаждения двигателя в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102Ширина, м - 0.43 Высота, м - 0.26 Длина, м - 0.276 Вес, кг – 19.6",4400,original/IMG_20200324_112329-scaled.jpg,128/128__IMG_20200324_112329-scaled.jpg,432/432__IMG_20200324_112329-scaled.jpg,true
183823,,,,1,3,Гидромуфта с консервации,740-1318010,"Гидромуфта привода КАМАЗ Артикул: 740-1318010 Альтернативные описания: Применяется для двигателя и системы охлаждения двигателя в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102Ширина, м - 0.43 Высота, м - 0.26 Длина, м - 0.276 Вес, кг – 19.6","Гидромуфта привода КАМАЗ Артикул: 740-1318010 Альтернативные описания: Применяется для двигателя и системы охлаждения двигателя в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102Ширина, м - 0.43 Высота, м - 0.26 Длина, м - 0.276 Вес, кг – 19.6",5100,original/IMG_20200324_112329-scaled.jpg,128/128__IMG_20200324_112329-scaled.jpg,432/432__IMG_20200324_112329-scaled.jpg,true
183824,,,,1,3,Головка блока с/с,740-1003010-20,0,0,3600,0,0,0,true
183825,,,,1,3,Головка блока Евро с/с,7430-1003010,0,0,6000,0,0,0,true
183826,,,,1,2,ГУР c/c,4310-3400020,Гидроусилитель руля (ГУР) КамАЗ 4310Артикул: 4310-3400020,Гидроусилитель руля (ГУР) КамАЗ 4310Артикул: 4310-3400020-01,16800,original/GUR-4310-1.jpg,128/128__GUR-4310-1.jpg,432/432__GUR-4310-1.jpg,true
