"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"МД-00016510","8.3-20","Автокамера  8.3-20","шт","1200","","10","0","0"
"МД-00016511","12.00-16","Автокамера 12.00-16 / г.Барнаул","шт","1250","","0","0","0"
"МД-00018825","12.00-24","Автокамера 12.00-24 / г. Нижнекамск","шт","4844","","7","0","0"
"МД-00018979","-","Автокамера 1200x500x508 (Барнаул)","шт","5940","","11.5","0","0"
"МД-00016512","13.6-38 ","Автокамера 13.6-38   (Барнаул)","шт","2600","","10","0","0"
"МД-00014728","14.00-20","Автокамера 14.00-20 ","шт","2776","","7.5","0","0"
"МД-00017881","16.00-20 ","Автокамера 16.00-20 / г. Нижнекамск","шт","4968","","0","0","0"
"МД-00017882","16.00-20 ","Автокамера 16.00-20 / Мишлен","шт","5560","","0","0","0"
"МД-00016513","175-16 ","Автокамера 175-16 / г. Нижнекамск","шт","725","","7","0","0"
"МД-00019808","9.00-20","Автокамера 260х508 / г. Барнаул","шт","1728","","0.001","0","0"
"МД-00000712","9.00-20","Автокамера 260х508 / г. Нижнекамск","шт","2554","","4","0","0"
"МД-00000711","10.00-20","Автокамера 280х508 / г. Нижнекамск","шт","3337","","5","0","0"
"МД-00000714","11.00-20","Автокамера 300х508 / г. Нижнекамск","шт","2376","","6","0","0"
"МД-00000713","12.00-20","Автокамера 320х508 / г. Нижнекамск","шт","3802","","6.5","0","0"
"МД-00000684","-","Автокамера 4310 (1220x400x533) / г.Барнаул","шт","3785","","11.5","0","0"
"МД-00021657","-","Автокамера 4310 (1220x400x533) / г.Нижнекамск","шт","5778","","0.001","0","0"
"МД-00035035","-","Автокамера 4310 (1220x400x533) / г.Омск","шт","5508","","6","0","0"
"МД-00005622","-","Автопаласы (без ручки КПП)","к-т","1710","","6.4","0","0"
"МД-00015154","-","Автопаласы (с ручкой КПП)","к-т","1815","","4.16","0","0"
"МД-00021647","-","Адаптер для замены ТНВД БОШ на Язда","к-т","13200","","5.5","0","0"
"МД-00000345","5320-3703010","АКБ 6СТ 190 заряженные, залитые ","шт","11700","","43.7","0","0"
"МД-00012724","5320-3703010","АКБ 6СТ 190 заряженные, залитые / E-LAB ","шт","13000","","43.3","0","0"
"МД-00020523","5320-3703010","АКБ 6СТ 225 заряженные, залитые ","шт","19250","","0.001","0","0"
"МД-00014976","50.6-2905005","Амортизатор 230/450 5299-30-51 (газовый дв.) / НЕФАЗ","шт","3200","","6","0","0"
"МД-00022337","БАК.00300","Амортизатор 245/450 5299-30-51 (ан. 50.4.2905006) (газовый дв.) / БелАвтоКомплект ","шт","2538","","3.6","0","0"
"МД-00016051","50.4-2905006","Амортизатор 245/450 5299-30-51 (газовый дв.) / НЕФАЗ","шт","3200","","8.4","0","0"
"МД-00033918","180-2915006-31","Амортизатор задней подвески  (КАМАЗ 5490) / РОСТАР","шт","3711","","6.5","0","0"
"МД-00013304","5490-9408903919","Амортизатор кабины задний (гаситель колебаний) на 5490 / SAMPA","шт","2155","","1.44","0","0"
"МД-00012892","5490-9408903919","Амортизатор кабины задний (гаситель колебаний) на 5490 / г. Москва","шт","1466","","1.35","0","0"
"МД-00022899","9408903919 / СВ0097","Амортизатор кабины задний (гаситель колебаний) на 5490 / Германия","шт","3614.4","","1.22","0","0"
"МД-00012922","5490-3758900419","Амортизатор кабины задний (пружинный) на 5490 / SAMPA (100.165-01)","шт","3960","","3.8","0","0"
"МД-00022090","5490-3758900419 / 73 1700 006 060/061","Амортизатор кабины задний (пружинный) на 5490 / г. Москва","шт","2700","","3.5","0","0"
"МД-00015218","К5490-3758900419 / 73 1700 006 060/061","Амортизатор кабины задний (пружинный) на 5490 / КМД","шт","2090","","3.5","0","0"
"МД-00023172","5490-9408904519 / 9408904619 / 3758900819 ","Амортизатор кабины передний (пружинный) на 5490 / г. Москва","шт","2185","","3.5","0","0"
"МД-00017192","5490-9408904519 / 9408904619 / 3758900819 ","Амортизатор кабины передний (пружинный) на 5490 / Германия","шт","4950","","3.7","0","0"
"МД-00015219","К5490-9408904519 / 9408904619 / 3758900819 ","Амортизатор кабины передний (пружинный) на 5490 / КМД","шт","2406","","4","0","0"
"МД-00012921","5490-9408904519 / 9408904619 / 3758900819 ","Амортизатор кабины передний (пружинный) на 5490 / Турция","шт","3888","","3.7","0","0"
"МД-00006189","4310-2905006-01","Амортизатор основной  4310 / г. Гродно","шт","4120","","5.64","0","0"
"МД-00023170","4310.2905006","Амортизатор основной  4310 / г. Москва","шт","1420","","4","0","0"
"МД-00008918","50.2.2905005","Амортизатор основной (аналог А1-325/500.2905006) МАЗ п/п всех моделей, кроме 4370; КамАЗ / ПААЗ","шт","3290","","7.88","0","0"
"МД-00005623","53212-2905006-01","Амортизатор основной (в железном корпусе) / г. Гродно","шт","4492","","3.5","0","0"
"МД-00010846","53212-2905006","Амортизатор основной (в железном корпусе) / г.Москва","шт","1370","","0.9","0","0"
"МД-00001030","К53212-2905006","Амортизатор основной (в железном корпусе) / КМД","шт","1550","","4.86","0","0"
"МД-00008809","53212-2905005","Амортизатор основной (в железном корпусе) / ПААЗ (П 40)","шт","2890","","5.74","0","0"
"МД-00000595","53212-2905006-02","Амортизатор основной (в пластмассовом корпусе) / г. Гродно","шт","3525","","5","0","0"
"МД-00002405","4310-2905005","Амортизатор основной 4310 ( в железном корпусе) / ПААЗ","шт","2850","","6.06","0","0"
"МД-00001032","К4310.2905006","Амортизатор основной 4310 / КМД","шт","1710","","5.2","0","0"
"МД-00004011","П50.5-2905005","Амортизатор основной 43118  (аналог А1-300/475.2905006, вместо П50.5-2905006) / ПААЗ","шт","3180","","6.9","0","0"
"МД-00001033","К50.2-2905006","Амортизатор основной ЕВРО (КАМАЗ 43118) / КМД","шт","2220","","6.6","0","0"
"МД-00020554","П50.6-2905005","Амортизатор основной ЕВРО (КАМАЗ 5297, 5299) / ПААЗ","шт","4038","","0.001","0","0"
"МД-00012471","П50.11-2905005-31","Амортизатор основной ЕВРО (КАМАЗ 5490, 5308) / ПААЗ","шт","3670","","6.9","0","0"
"МД-00020841","УЛИГ.50.А1.452995.070","Амортизатор основной ЕВРО (КАМАЗ 5490,54901, 5308) / ОАО ""Барановичский автоагрегатный завод""","шт","3683","","7.8","0","0"
