"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"ДН007209","40-2915006-10","Амортизатор (275/455) МАЗ-4370 задний","шт","2850","","3.9","0","0"
"ДН007187","40-2905006-10","Амортизатор (300/480) МАЗ-4370 передний","шт","3000","","4.12","0","0"
"ДН007305","64301-1001029","Амортизатор балки крепления двигателя н/о","шт","105","","0.24","0","0"
"ДН13312","54327-2915006-60","Амортизатор задней подвески (190/425) БААЗ","шт","4277","","0","0","0"
"ДН13311","54327-2915006-50","Амортизатор задней подвески (240/425) БААЗ","шт","4278","","6.62","0","0"
"ДН13313","54327-2915006-30","Амортизатор задней подвески (265/450) БААЗ","шт","4280","","0","0","0"
"ДН13314","54327-2915006-20","Амортизатор задней подвески (290/475) БААЗ","шт","4530","","0","0","0"
"ДН13315","54327-2915006-10","Амортизатор задней подвески (315/500) БААЗ","шт","4530","","7.62","0","0"
"ДН011002","54327-2915006-60","Амортизатор задней подвески (190/425) КМД 2-х сторонний с втулками","шт","2460","","4.52","0","0"
"ДН008604","54327-2915006-50","Амортизатор задней подвески (240/425) КМД 2-х сторонний с втулками","шт","2550","","4.72","0","0"
"ДН007055","54327-2915006-30","Амортизатор задней подвески (265/450) КМД 2-х сторонний с втулками","шт","2550","","7.2","0","0"
"ДН006408","54327-2915006-20","Амортизатор задней подвески (290/475) КМД 2-х сторонний с втулками","шт","2550","","5.27","0","0"
"ДН006472","54327-2915006-10","Амортизатор задней подвески (315/500) КМД 2-х сторонний с втулками","шт","2640","","5.27","0","0"
"ДН011767","54327-2915006","Амортизатор задний (340/525) КМД 2-х сторонний с втулками","шт","2640","","6.46","0","0"
"ДН007292","630300-1001029","Амортизатор Н/О (""гребешок"" под скобу 630300)","шт","129","","0.3","0","0"
"ДН13722","А1-300/475-2905006","Амортизатор основной передний МАЗ (300/475) БААЗ","шт","2935","","8.4","0","0"
"ДН005231","15-2905006-11","Амортизатор основной передний МАЗ (325/500) БААЗ","шт","3211","","8.5","0","0"
"ДН13316","А1-2905006-41","Амортизатор п/прицепа (237/412) БААЗ","шт","2775","","0","0","0"
"ДН005232","412-2905006","Амортизатор п/прицепа (237/412) КМД 2-х сторонний с втулками","шт","1785","","6.4","0","0"
"ДН003505","15/50.5-2905006-21","Амортизатор передний (300/475) КМД 2-х сторонний с втулками","шт","2240","","6.1","0","0"
"ДН011203","15-2905006-11","Амортизатор передний (325/500) КМД 2-х сторонний с втулками","шт","2240","","6.05","0","0"
"ДН003514","503-8501300","Амортизатор платформы","шт","255","","1.47","0","0"
"ДН13718","555103-8501379","Амортизатор платформы н/о 555103 (80х180х15мм)","шт","530","","0","0","0"
"ДН011199","К11-6809010-120","Амортизатор пневмоподушки кабины (КМД)","шт","1290","","1.64","0","0"
"ДН009556","114-2915019","Амортизатор пневмосиденья (КМД)","шт","840","","0.76","0","0"
"ДН12371","72 1700 105 831 S","Амортизатор под кабину ЕВРОМАЗ с пружиной н/о (взамен пневмоподвески)","шт","2500","","3.684","0","0"
"ДН011915","20-5001010-10","Амортизатор под кабину ЕВРОМАЗ (КМД)","шт","1020","","1.1","0","0"
"ДН009579","20-5001010-01","Амортизатор под кабину СУПМАЗ (КМД)","шт","700","","1","0","0"
"ДН004024","5336-3410010","Бак масляный насоса ГУР","шт","4650","","2.692","0","0"
"ДН14046","5336-1101010","Бак топливный 370 л (МАЗ) ГОЛЫЙ БАКОР 650х650х1000","шт","5700","","0","0","0"
"ДН004457","","Бак топливный 450 л (МАЗ,п/к) БАКОР 650х650х1175","к-т","9300","","65","0","0"
"ДН003753","97581-2918005","Балансир в сборе плечо 200/200мм","шт","7350","","18.6","0","0"
"ДН005206","93301-2918005","Балансир в сборе плечо 210/210мм (под буфер)","шт","8400","","23.85","0","0"
"ДН003434","9397-2918005","Балансир с сборе плечо 255/255мм","шт","9850","","24","0","0"
"ДН005207","9389-2918005","Балансир в сборе плечо 355/255мм","шт","8300","","28","0","0"
"ДН003363","93866-2918015","Балансир в сборе плечо 500/500мм","шт","11650","","30.7","0","0"
"ДН005069","6430-3001010","Балка передней оси","шт","26400","","0","0","0"
"ДН005070","64221-3001010","Балка передней оси Евро","шт","26400","","0","0","0"
"ДН011429","6430-2933008","Балка пневмоподвески правая (нижняя)","шт","19200","","0","0","0"
"ДН011027","643008-1715018","Балка поддерживающей опоры (КПП-12JS) 4 отв.","шт","1375","","0","0","0"
"ДН011524","64302-1715020","Балка поддерживающей опоры (КПП-ZF16S)","шт","1600","","0","0","0"
"ДН007651","54328-1715018","Балка поддерживающей опоры 54328","шт","1550","","0","0","0"
"ДН003288","6422-1001018","Балка поддерживающей опоры 6422","шт","4600","","8.5","0","0"
"ДН011321","642208-1715018","Балка поддерживающей опоры 642208 (64301) 6отв.","шт","840","","4.36","0","0"
"ДН013149","64301-1001016","Балка поддерживающей опоры 64301 Евро","шт","12800","","12.6","0","0"
"ДН010291","6430-5101154","Балка продольная правая (усилитель пола кабины) н/о","шт","2700","","7.2","0","0"
"ДН007063","54421-2803010-011","Бампер ЕВРО (АБС пластик)","шт","12000","","5.5","0","0"
"ДН010145","54421-2803010-011","Бампер ЕВРО (стеклопластик)","шт","20280","","12.8","0","0"
"ДН010978","643019-2803013","Бампер нижний  643019 (центральная часть) металл","шт","7650","","7.7","0","0"
"ДН004310","64221-2803017","Бампер нижний (борода) 64221 АБС пластик","шт","3330","","2.2","0","0"
"ДН012069","64221-2803017","Бампер нижний (борода) 64221 стеклопластик","шт","3945","","0","0","0"
"ДН010989","643019-2803173","Бампер нижний боковой  643019 (левый) металл","шт","1280","","1.15","0","0"
"ДН010979","643019-2803172","Бампер нижний боковой  643019 (правый) металл","шт","1280","","1.15","0","0"
"ДН010958","643019-2803012","Бампер нижний н/о ""борода"" металл РУП ""МАЗ""","шт","16170","","11.3","0","0"
"ДН009628","5440Е9-2803012","Бампер нижний н/о (""борода"" под 5440Е9 и 643019)","шт","13900","","4.8","0","0"
"ДН004155","5432-2803010","Бампер передний боковой","шт","1835","","4.2","0","0"
"ДН009629","5440Е9-2803014","Бампер передний ЕВРО (под 301 фару)","шт","21000","","11","0","0"
"ДН011016","5340V4-2803010-010","Бампер передний ЕВРО н/о (ОАО ""ОЗАА"")","шт","21250","","13.9","0","0"
"ДН002900","5432-2803015","Бампер передний центральный","шт","1500","","5.65","0","0"
"ДН12135","650119-2803010-000","Бампер переднийй (металлический) ЕВРО-4","шт","31800","","0","0","0"
"ДН003435","64221-3502070-01","Барабан тормозной (10 отв.) (93866)","шт","9250","","50.5","0","0"
"ДН005057","4370-3502070","Барабан тормозной задний 4370 (Зубренок)","шт","6250","","25.7","0","0"
"ДН006424","5440-3502070","Барабан тормозной задний МАЗ 5440 (10 шпилек)","шт","9600","","54.2","0","0"
"ДН007782","6430-3502070","Барабан тормозной задний МАЗ 6430 (10 шпилек)","шт","9750","","68","0","0"
"ДН004313","93301-3502070","Барабан тормозной п/прицепа (Могилев)","шт","8650","","63","0","0"
"ДН005160","9397-3502070-01","Барабан тормозной п/прицепа 9397 (6 отв.)","шт","6890","","45","0","0"
"ДН004737","5336-3501070","Барабан тормозной передний (12 отв.)","шт","5900","","45","0","0"
"ДН005056","4370-3501070","Барабан тормозной передний 4370 (Зубренок)","шт","5650","","22.25","0","0"
"ДН003451","500-3501070","Барабан тормозной передний МАЗ 500 (6 отв.)","шт","1800","","0","0","0"
"ДН007335","6430-3501070","Барабан тормозной передний МАЗ 6430","шт","8500","","49.5","0","0"
"ДН012824","СЭАТ-22","Бачок омывателя 10л (ЭКРАН)","шт","2090","","0","0","0"
"ДН004746","64227-1311010","Бачок расширительный МАЗ (металл)","шт","3250","","3","0","0"
"ДН005131","4370-1311010","Бачок расширительный МАЗ Зубрёнок","шт","2900","","2.5","0","0"
"ДН011715","8МА 376 705-081","Бачок расширительный МАЗ с дв-лем ""MB""","шт","7320","","3.3","0","0"
"ДН004107","642290-1311010","Бачок расширительный н/о (круглый) (латунь)","шт","3000","","0","0","0"
"ДН008670","642290-1311010","Бачок расширительный н/о (круглый) (металл)","шт","3250","","2.9","0","0"
"ДН13496","650136-1311010","Бачок расширительный н/о (круглый) (металл)","шт","3300","","0","0","0"
"ДН010784","6418-2918018","Башмак балансира (усиленный)","шт","11800","","35.16","0","0"
"ДН003456","6303-2918020","Башмак балансира в сборе","шт","19500","","35","0","0"
"ДН006289","7402-3708600","Бендикс ММЗ-Д246 г.Борисов","шт","840","","0","0","0"
"ДН011063","5432-3708.600","Бендикс привод стартера  5432 (БАТЭ) z=10","шт","2037","","0.45","0","0"
"ДН005418","СТ142/25-3708600","Бендикс привод стартера 10 зубьев","шт","795","","1","0","0"
"ДН004796","2502-3708.600","Бендикс привод стартера 11 зуб  з-д (БАТЭ)СТ-25","шт","1965","","1","0","0"
"ДН003566","2502-3708.600","Бендикс привод стартера 11 зубьев","шт","930","","1","0","0"
"ДН008704","16-911.674","Бендикс привод стартера AZF 4581,4554 z=10","шт","760","","0.78","0","0"
"ДН14446","ДЧ8167","Блок датчиков давления воздуха","шт","5070","","0","0","0"
"ДН004099","БДИ-1М","Блок двигателя интерфейсный БДИ-1М (МАЗ,УРАЛ)","шт","17000","","0","0","0"
"ДН011481","650-1111674","Блок дозировочный  дв.650 (0 928 400 617)","шт","3800","","0.208","0","0"
"ДН14012","5340-1111674","Блок дозировочный двиг.536,5340 ( 0 928 400 771)","шт","3800","","0","0","0"
"ДН14933","0 928 400 617","Блок дозировочный ЯМЗ-650 (BOSCH)","шт","9000","","0","0","0"
"ДН009773","БСК-4","Блок монтажный БСК-4 (аналог БКА-4) ТАИС","шт","43500","","3.24","0","0"
"ДН010497","БКА-4 А9","Блок монтажный МАЗ-5440А9","шт","34900","","0","0","0"
"ДН009655","БКА-3А","Блок монтажный н/о БКА-3А (ТАИС)","шт","39900","","5.25","0","0"
"ДН14258","717813","Блок подшипников выходного вала (цельный)","шт","3000","","2.35","0","0"
"ДН14471","JS220-1707109","Блок подшипников выходного вала (цельный)","шт","1850","","0","0","0"
"ДН010839","JS220-1707109","Блок подшипников выходного вала КПП Китай (толстый)","к-т","1380","","0","0","0"
"ДН010840","717813","Блок подшипников выходного вала КПП Китай 9JS","к-т","1850","","2.35","0","0"
"ДН006466","23.3722-01","Блок реле и предохранителей (без БСК)","шт","3000","","1","0","0"
"ДН006465","БСК23.3722-03М","Блок реле и предохранителей с БСК (универсальный)","шт","4440","","1.15","0","0"
"ДН012995","179-3763001-10","Блок управления 6581 ТНВД (ЭСУ) 400л.с","шт","19390","","0","0","0"
"ДН010811","179-3763001-20","Блок управления 6582 ТНВД (ЭСУ) 330л.с","шт","19390","","0","0","0"
"ДН011463","0 281 020 111","Блок управления двигателем 650 (BOSCH)","шт","39000","","0","0","0"
"ДН12810","536-3763010","Блок управления двигателем 536","шт","38600","","0","0","0"
"ДН011723","8.9023-М230.Е3","Блок управления двигателем М230.Е3 (АБИТ.457380.002)","шт","19400","","0","0","0"
"ДН12811","8.9496-55.3763-01/М240","Блок управления двигателем М240 ЕВРО-4","шт","31000","","0","0","0"
